Name,Price(lac),City,Model,Mileage
Suzuki Cultus  2009 VXRi for Sale,                         10.5 ,                    Lahore                  ,2009,"100,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8 ,                    Lahore                  ,2009,"10,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         7.8 ,                    Muridke                  ,2009,"80,000 km"
Suzuki Cultus  2009 VXLi for Sale,                         7.95 ,                    Karachi                  ,2009,"34,786 km"
Suzuki Cultus  2009 VXRi for Sale,                         12 ,                    Chichawatni                  ,2009,"60,000 km"
Suzuki Cultus  2009 VXRi (CNG) for Sale,                         10.5 ,                    Faisalabad                  ,2009,"135,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         9.5 ,                    Peshawar                  ,2009,"123,456 km"
Suzuki Cultus  2009 VXRi for Sale,                         9 ,                    Faisalabad                  ,2009,"116,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         7.9 ,                    Karachi                  ,2009,"75,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         9 ,                    Mansehra                  ,2009,"120,000 km"
Suzuki Cultus  2009 VXRi (CNG) for Sale,                         9 ,                    Karachi                  ,2009,"9,500 km"
Suzuki Cultus  2009 VXLi (CNG) for Sale,                         9.95 ,                    Bahawalpur                  ,2009,"80,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.4 ,                    Karachi                  ,2009,"50,000 km"
Suzuki Cultus  2009 VXLi for Sale,                         11.2 ,                    Faisalabad                  ,2009,"99,000 km"
Suzuki Cultus  2009 VXLi for Sale,                         9 ,                    Karachi                  ,2009,"12,500 km"
Suzuki Cultus  2009 VXRi for Sale,                         9.3 ,                    Lahore                  ,2009,"82,320 km"
Suzuki Cultus  2009 VXRi for Sale,                         9.4 ,                    Lahore                  ,2009,"71,600 km"
Suzuki Cultus  2009 VXRi (CNG) for Sale,                         9.25 ,                    Rawalpindi                  ,2009,"85,236 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.7 ,                    Sheikhupura                  ,2009,"71,798 km"
Suzuki Cultus  2009 VXLi for Sale,                         9 ,                    Karachi                  ,2009,"91,000 km"
Suzuki Cultus  2009 EURO II for Sale,                         8.25 ,                    Lahore                  ,2009,"1,234 km"
Suzuki Cultus  2009 VXLi (CNG) for Sale,                         10.5 ,                    Islamabad                  ,2009,17 km
Suzuki Cultus  2009 VXLi for Sale,                         9.5 ,                    Lahore                  ,2009,18 km
Suzuki Cultus  2009 VXRi for Sale,                         9.9 ,                    Rawalpindi                  ,2009,"98,000 km"
Suzuki Cultus  2009 EURO II for Sale,                         9.2 ,                    Lahore                  ,2009,"140,000 km"
Suzuki Cultus  2009  for Sale,                         7.3 ,                    Karachi                  ,2009,"82,324 km"
Suzuki Cultus  2009  for Sale,                         9 ,                    Karachi                  ,2009,"80,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.5 ,                    Lahore                  ,2009,"350,000 km"
Suzuki Cultus  2009 VXRi for Sale,                         8.75 ,                    Chichawatni                  ,2009,"200,000 km"
Suzuki Cultus  2009 VXLi for Sale,                         11 ,                    Lahore                  ,2009,"65,000 km"
